,DispNum3,IncidNum3,DispNum4,IncidNum4,StDay,StMon,StYear,EndDay,EndMon,EndYear,Duration,TBI,Fatality,FatalPre,Action,HostLev,NumA,RevType1,RevType2,Version,DispNum3,IncidNum3,DispNum4,IncidNum4,StAbb,ccode,StDay,StMon,StYear,EndDay,EndMon,EndYear,InSide A,SideA,Fatality,FatalPre,Action,HostLev,RevType1,RevType2,Version
41,3552.0,3552032.0,-9.0,-9.0,19.0,8.0,1993.0,19.0,8.0,1993.0,1.0,126.0,-9.0,-9.0,17.0,4.0,1.0,2.0,0.0,4.01,3551,3551009,-9,-9,USA,2,1,5,1993,1,11,1993,1,1,0,0,13,4,2,0,4.01
42,3552.0,3552033.0,-9.0,-9.0,23.0,12.0,1993.0,23.0,12.0,1993.0,1.0,-9.0,0.0,0.0,17.0,4.0,1.0,2.0,0.0,4.01,3551,3551010,-9,-9,YUG,345,18,10,1993,18,10,1993,0,0,0,0,0,1,0,0,4.01
43,3555.0,3555001.0,-9.0,-9.0,20.0,1.0,1992.0,20.0,1.0,1992.0,1.0,3.0,-9.0,-9.0,17.0,4.0,1.0,1.0,0.0,4.01,3551,3551010,-9,-9,USA,2,18,10,1993,18,10,1993,1,1,0,0,1,2,2,0,4.01
44,3555.0,3555002.0,-9.0,-9.0,23.0,1.0,1992.0,23.0,1.0,1992.0,1.0,33.0,0.0,0.0,12.0,3.0,1.0,1.0,0.0,4.01,3552,3552001,-9,-9,USA,2,27,7,1992,27,7,1992,1,1,2,0,7,3,2,0,4.01
45,3555.0,3555003.0,-9.0,-9.0,25.0,2.0,1992.0,29.0,2.0,1992.0,5.0,11.0,1.0,-9.0,17.0,4.0,1.0,1.0,0.0,4.01,3552,3552001,-9,-9,IRQ,645,27,7,1992,27,7,1992,0,0,2,0,0,1,0,1,4.01
46,3555.0,3555004.0,-9.0,-9.0,6.0,3.0,1992.0,8.0,4.0,1992.0,34.0,37.0,2.0,-9.0,17.0,4.0,1.0,1.0,0.0,4.01,3552,3552002,-9,-9,USA,2,28,12,1992,28,12,1992,1,1,2,0,16,4,2,0,4.01
47,3555.0,3555005.0,-9.0,-9.0,11.0,4.0,1992.0,11.0,4.0,1992.0,1.0,10.0,-9.0,-9.0,17.0,4.0,1.0,1.0,0.0,4.01,3552,3552002,-9,-9,IRQ,645,28,12,1992,28,12,1992,0,0,1,-9,0,1,0,1,4.01
48,3555.0,3555006.0,-9.0,-9.0,21.0,4.0,1992.0,21.0,4.0,1992.0,1.0,2.0,1.0,1.0,16.0,4.0,1.0,1.0,0.0,4.01,3552,3552003,-9,-9,FRN,220,26,8,1992,26,8,1992,1,1,2,0,7,3,2,0,4.01
49,3555.0,3555007.0,-9.0,-9.0,23.0,4.0,1992.0,23.0,4.0,1992.0,1.0,1.0,-9.0,-9.0,17.0,4.0,1.0,1.0,0.0,4.01,3552,3552003,-9,-9,UKG,200,26,8,1992,26,8,1992,1,1,2,0,7,3,2,0,4.01
50,3555.0,3555008.0,-9.0,-9.0,24.0,4.0,1992.0,24.0,4.0,1992.0,1.0,77.0,2.0,-9.0,17.0,4.0,1.0,1.0,0.0,4.01,3552,3552003,-9,-9,USA,2,26,8,1992,26,8,1992,1,1,2,0,7,3,2,0,4.01
51,3555.0,3555009.0,-9.0,-9.0,10.0,7.0,1992.0,10.0,7.0,1992.0,1.0,-9.0,0.0,0.0,11.0,3.0,1.0,1.0,0.0,4.01,3552,3552003,-9,-9,IRQ,645,26,8,1992,26,8,1992,0,0,2,0,0,1,0,1,4.01
52,3556.0,3556001.0,-9.0,-9.0,20.0,10.0,1992.0,28.0,10.0,1992.0,9.0,6.0,1.0,-9.0,17.0,4.0,1.0,1.0,0.0,4.01,3552,3552004,-9,-9,KUW,690,2,8,1992,2,8,1992,1,1,2,0,8,3,2,0,4.01
53,3556.0,3556002.0,-9.0,-9.0,26.0,10.0,1992.0,26.0,10.0,1992.0,1.0,-9.0,0.0,0.0,11.0,3.0,1.0,1.0,2.0,4.01,3552,3552004,-9,-9,IRQ,645,2,8,1992,2,8,1992,0,0,2,0,0,1,0,1,4.01
54,3557.0,3557001.0,-9.0,-9.0,6.0,4.0,1992.0,6.0,4.0,1992.0,1.0,8.0,0.0,0.0,7.0,3.0,1.0,2.0,0.0,4.01,3552,3552005,-9,-9,KUW,690,3,8,1992,24,8,1992,1,1,2,0,7,3,2,0,4.01
55,3557.0,3557002.0,-9.0,-9.0,14.0,4.0,1992.0,14.0,4.0,1992.0,1.0,6.0,-9.0,-9.0,17.0,4.0,1.0,1.0,0.0,4.01,3552,3552005,-9,-9,USA,2,3,8,1992,24,8,1992,1,1,2,0,7,3,2,0,4.01
56,3557.0,3557003.0,-9.0,-9.0,20.0,4.0,1992.0,22.0,4.0,1992.0,3.0,12.0,-9.0,-9.0,17.0,4.0,1.0,1.0,0.0,4.01,3552,3552005,-9,-9,IRQ,645,3,8,1992,24,8,1992,0,0,2,0,0,1,0,1,4.01
57,3557.0,3557004.0,-9.0,-9.0,2.0,5.0,1992.0,2.0,5.0,1992.0,1.0,6.0,-9.0,-9.0,17.0,4.0,1.0,1.0,0.0,4.01,3552,3552006,-9,-9,USA,2,4,1,1993,4,1,1993,0,1,0,0,0,1,0,0,4.01
58,3557.0,3557005.0,-9.0,-9.0,8.0,5.0,1992.0,8.0,5.0,1992.0,1.0,3.0,0.0,0.0,16.0,4.0,1.0,1.0,0.0,4.01,3552,3552006,-9,-9,IRQ,645,4,1,1993,4,1,1993,1,0,0,0,7,3,2,0,4.01
59,3557.0,3557006.0,-9.0,-9.0,11.0,5.0,1992.0,11.0,5.0,1992.0,1.0,17.0,-9.0,-9.0,17.0,4.0,1.0,1.0,0.0,4.01,3552,3552007,-9,-9,IRQ,645,6,1,1993,6,1,1993,0,0,0,0,0,1,0,0,4.01
60,3557.0,3557007.0,-9.0,-9.0,28.0,5.0,1992.0,28.0,5.0,1992.0,1.0,89.0,-9.0,-9.0,17.0,4.0,1.0,1.0,0.0,4.01,3552,3552007,-9,-9,USA,2,6,1,1993,6,1,1993,1,1,0,0,1,2,2,1,4.01
61,3557.0,3557008.0,-9.0,-9.0,25.0,8.0,1992.0,25.0,8.0,1992.0,1.0,112.0,-9.0,-9.0,16.0,4.0,1.0,1.0,0.0,4.01,3552,3552007,-9,-9,UKG,200,6,1,1993,6,1,1993,1,1,0,0,1,2,2,1,4.01
62,3557.0,3557009.0,-9.0,-9.0,15.0,12.0,1992.0,15.0,12.0,1992.0,1.0,33.0,-9.0,-9.0,16.0,4.0,1.0,1.0,0.0,4.01,3552,3552007,-9,-9,RUS,365,6,1,1993,6,1,1993,1,1,0,0,1,2,2,1,4.01
63,3557.0,3557010.0,-9.0,-9.0,17.0,1.0,1993.0,18.0,1.0,1993.0,2.0,8.0,-9.0,-9.0,17.0,4.0,1.0,1.0,0.0,4.01,3552,3552007,-9,-9,FRN,220,6,1,1993,6,1,1993,1,1,0,0,1,2,2,1,4.01
64,3557.0,3557011.0,-9.0,-9.0,25.0,1.0,1993.0,25.0,1.0,1993.0,1.0,-9.0,0.0,0.0,8.0,3.0,1.0,1.0,0.0,4.01,3552,3552008,-9,-9,IRQ,645,7,1,1993,9,1,1993,0,0,0,0,0,1,0,0,4.01
65,3561.0,3561001.0,-9.0,-9.0,13.0,6.0,1992.0,13.0,6.0,1992.0,1.0,5.0,1.0,15.0,17.0,4.0,1.0,2.0,0.0,4.01,3552,3552008,-9,-9,KUW,690,7,1,1993,9,1,1993,1,1,0,0,8,3,2,0,4.01
66,3561.0,3561002.0,-9.0,-9.0,18.0,6.0,1992.0,18.0,6.0,1992.0,1.0,108.0,1.0,-9.0,16.0,4.0,1.0,2.0,0.0,4.01,3552,3552009,-9,-9,USA,2,10,1,1993,10,1,1993,0,1,0,0,0,1,0,0,4.01
67,3561.0,3561003.0,-9.0,-9.0,4.0,10.0,1992.0,4.0,10.0,1992.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,4.01,3552,3552009,-9,-9,IRQ,645,10,1,1993,10,1,1993,1,0,0,0,8,3,2,0,4.01
68,3561.0,3561004.0,-9.0,-9.0,5.0,10.0,1992.0,5.0,10.0,1992.0,1.0,0.0,0.0,0.0,11.0,3.0,1.0,2.0,0.0,4.01,3552,3552010,-9,-9,USA,2,11,1,1993,11,1,1993,0,1,0,0,0,1,0,0,4.01
69,3561.0,3561005.0,-9.0,-9.0,5.0,10.0,1992.0,5.0,10.0,1992.0,1.0,60.0,0.0,0.0,7.0,3.0,1.0,2.0,0.0,4.01,3552,3552010,-9,-9,IRQ,645,11,1,1993,11,1,1993,1,0,0,0,7,3,2,4,4.01
70,3561.0,3561006.0,-9.0,-9.0,4.0,12.0,1992.0,4.0,12.0,1992.0,1.0,2.0,0.0,0.0,16.0,4.0,1.0,2.0,0.0,4.01,3552,3552011,-9,-9,IRQ,645,12,1,1993,12,1,1993,0,0,0,0,0,1,0,0,4.01
71,3561.0,3561007.0,-9.0,-9.0,6.0,12.0,1992.0,6.0,12.0,1992.0,1.0,8.0,1.0,0.0,17.0,4.0,1.0,2.0,0.0,4.01,3552,3552011,-9,-9,USA,2,12,1,1993,12,1,1993,1,1,0,0,8,3,2,0,4.01
72,3561.0,3561008.0,-9.0,-9.0,14.0,12.0,1992.0,14.0,12.0,1992.0,1.0,3.0,1.0,-9.0,16.0,4.0,1.0,2.0,0.0,4.01,3552,3552011,-9,-9,FRN,220,12,1,1993,12,1,1993,1,1,0,0,8,3,2,0,4.01
73,3561.0,3561009.0,-9.0,-9.0,17.0,12.0,1992.0,17.0,12.0,1992.0,1.0,-9.0,0.0,0.0,8.0,3.0,1.0,2.0,0.0,4.01,3552,3552011,-9,-9,UKG,200,12,1,1993,12,1,1993,1,1,0,0,8,3,2,0,4.01
74,3561.0,3561010.0,-9.0,-9.0,20.0,2.0,1993.0,20.0,2.0,1993.0,1.0,0.0,-9.0,-9.0,16.0,4.0,1.0,2.0,1.0,4.01,3552,3552012,-9,-9,IRQ,645,13,1,1993,13,1,1993,0,0,1,17,17,4,4,0,4.01
75,3561.0,3561011.0,-9.0,-9.0,20.0,2.0,1993.0,20.0,2.0,1993.0,1.0,21.0,-9.0,-9.0,16.0,4.0,1.0,1.0,0.0,4.01,3552,3552012,-9,-9,FRN,220,13,1,1993,13,1,1993,1,1,0,0,17,4,4,0,4.01
76,3561.0,3561012.0,-9.0,-9.0,13.0,3.0,1993.0,13.0,3.0,1993.0,1.0,3.0,-9.0,-9.0,16.0,4.0,1.0,2.0,0.0,4.01,3552,3552012,-9,-9,USA,2,13,1,1993,13,1,1993,1,1,0,0,17,4,4,0,4.01
77,3561.0,3561013.0,-9.0,-9.0,16.0,3.0,1993.0,18.0,3.0,1993.0,3.0,0.0,0.0,0.0,10.0,3.0,1.0,2.0,1.0,4.01,3552,3552012,-9,-9,UKG,200,13,1,1993,13,1,1993,1,1,0,0,17,4,4,0,4.01
78,3561.0,3561014.0,-9.0,-9.0,16.0,3.0,1993.0,16.0,3.0,1993.0,1.0,0.0,0.0,0.0,8.0,3.0,1.0,2.0,0.0,4.01,3552,3552013,-9,-9,IRQ,645,13,1,1993,13,1,1993,0,0,0,0,0,1,0,0,4.01
79,3561.0,3561015.0,-9.0,-9.0,16.0,3.0,1993.0,16.0,3.0,1993.0,1.0,1.0,-9.0,-9.0,16.0,4.0,1.0,2.0,0.0,4.01,3552,3552013,-9,-9,USA,2,13,1,1993,13,1,1993,1,1,0,0,1,2,2,0,4.01
